;eV;e1;e2
762;2.2792;7.2926;6.2093e-08
763;2.2768;7.2899;5.9292e-08
764;2.2744;7.2873;5.6615e-08
765;2.272;7.2846;5.4066e-08
766;2.2696;7.282;5.1626e-08
767;2.2672;7.2794;4.9303e-08
768;2.2648;7.2768;4.7082e-08
769;2.2625;7.2742;4.4966e-08
770;2.2601;7.2716;4.2941e-08
771;2.2577;7.269;4.1014e-08
772;2.2553;7.2664;3.917e-08
773;2.253;7.2639;3.7406e-08
774;2.2506;7.2613;3.5734e-08
775;2.2483;7.2588;3.4127e-08
776;2.2459;7.2563;3.2603e-08
777;2.2436;7.2537;3.1138e-08
778;2.2412;7.2512;2.9744e-08
779;2.2389;7.2488;2.8415e-08
780;2.2366;7.2463;2.7144e-08
781;2.2343;7.2438;2.5943e-08
782;2.232;7.2414;2.4794e-08
783;2.2297;7.239;2.3699e-08
784;2.2274;7.2366;2.2651e-08
785;2.2251;7.2342;2.1648e-08
786;2.2228;7.2318;2.0691e-08
787;2.2206;7.2294;1.978e-08
788;2.2183;7.227;1.8908e-08
789;2.216;7.2246;1.8073e-08
790;2.2138;7.2223;1.7277e-08
791;2.2115;7.2199;1.6519e-08
792;2.2092;7.2176;1.579e-08
793;2.207;7.2153;1.5098e-08
794;2.2048;7.213;1.4432e-08
795;2.2025;7.2107;1.3801e-08
796;2.2003;7.2084;1.3193e-08
797;2.1981;7.2061;1.2615e-08
798;2.1958;7.2038;1.2063e-08
799;2.1936;7.2015;1.1535e-08
800;2.1914;7.1993;1.1029e-08
801;2.1892;7.197;1.0546e-08
802;2.187;7.1948;1.0087e-08
803;2.1848;7.1926;9.6466e-09
804;2.1826;7.1903;9.225e-09
805;2.1804;7.1881;8.8215e-09
806;2.1782;7.1859;8.4385e-09
807;2.176;7.1837;8.0697e-09
808;2.1738;7.1815;7.7185e-09
809;2.1717;7.1794;7.3837e-09
810;2.1695;7.1772;7.0612e-09
811;2.1673;7.175;6.7553e-09
812;2.1651;7.1729;6.4611e-09
813;2.163;7.1708;6.1819e-09
814;2.1608;7.1686;5.9129e-09
815;2.1587;7.1665;5.6567e-09
816;2.1565;7.1644;5.4125e-09
817;2.1544;7.1623;5.1783e-09
818;2.1523;7.1602;4.954e-09
819;2.1501;7.1581;4.7402e-09
